oceans,regions,sub_regions,sampling_method,measurement,unit,density_range,density_class,date,season,year,density_marker_size,geometry,density_numeric
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-11-26,Fall,2019,6.5,"c(-94.8244, 29.2666)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2022-05-02,Spring,2022,6.5,"c(-94.9132, 29.2165)",3
Pacific Ocean,Gulf of California,NA,PVC cylinder,2115.655853,pieces/m3,500-30000,Medium,2018-07-11,Summer,2018,6.5,"c(-111.906818, 26.729392)",3
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,1993-05-06,Spring,1993,3,"c(-77.91, 26.42)",1
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2020-12-04,Winter,2020,3,"c(-82.5545, 27.8516)",1
Atlantic Ocean,Gulf of Mexico,Tampa Bay,Van Dorn sampler,0,pieces/m3,0-0.0005,Very Low,2016-08-09,Summer,2016,3,"c(-82.4807, 27.9237)",1
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2020-08-16,Summer,2020,3,"c(-82.5461, 27.9504)",1
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2022-03-14,Spring,2022,6.5,"c(-89.3276, 30.3063)",3
NA,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2021-06-30,Summer,2021,8.25,"c(-79.0457, 43.2006)",4
NA,NA,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2021-09-30,Fall,2021,3,"c(-79.0209, 43.017)",1
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,1992-05-19,Spring,1992,3,"c(-65.77, 42.58)",1
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,2008-07-21,Summer,2008,3,"c(-69.38, 42.83)",1
Atlantic Ocean,NA,NA,Neuston net,0.009256,pieces/m3,0.005-1,Medium,2000-08-19,Summer,2000,6.5,"c(-69.74, 42.86)",3
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2021-11-16,Fall,2021,6.5,"c(-79.9716, 32.8921)",3
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2020-02-21,Winter,2020,8.25,"c(-79.9261, 32.7872)",4
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2020-11-02,Fall,2020,3,"c(-70.6482, 42.0955)",1
Pacific Ocean,NA,NA,Hand picking,NA,pieces/10 mins,1-2,Low,2021-05-16,Spring,2021,4.75,"c(-121.8324, 36.887)",2
NA,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-11-06,Fall,2020,6.5,"c(-82.5133, 41.3833)",3
NA,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2020-09-11,Fall,2020,8.25,"c(-97.0127, 32.7255)",4
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2019-11-29,Fall,2019,3,"c(-80.7794, 32.1277)",1
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-04-18,Spring,2020,6.5,"c(-76.9583, 34.9992)",3
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2020-07-31,Summer,2020,8.25,"c(-79.9396, 32.8315)",4
Atlantic Ocean,NA,NA,Neuston net,0.00864,pieces/m3,0.005-1,Medium,1995-05-20,Spring,1995,6.5,"c(-73.38, 25.93)",3
Pacific Ocean,NA,NA,PVC cylinder,0,pieces/m3,0-100,Very Low,2018-07-07,Summer,2018,3,"c(-116.609493, 31.828258)",1
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,40-200,High,2020-03-21,Spring,2020,8.25,"c(-97.2124, 27.5967)",4
Atlantic Ocean,NA,NA,Neuston net,0.00432,pieces/m3,0.0005-0.005,Low,1993-01-06,Winter,1993,4.75,"c(-76.07, 25.67)",2
Atlantic Ocean,NA,NA,Neuston net,0.00432,pieces/m3,0.0005-0.005,Low,1996-02-13,Winter,1996,4.75,"c(-75.65, 24.8)",2
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2022-05-02,Spring,2022,6.5,"c(-94.8302, 29.264)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-11-28,Fall,2019,6.5,"c(-94.7706, 29.3032)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-06-13,Summer,2019,6.5,"c(-97.0764, 27.8021)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-04-23,Spring,2019,8.25,"c(-97.0474, 27.8325)",4
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2022-05-03,Spring,2022,6.5,"c(-97.327, 27.3467)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-02-23,Winter,2019,8.25,"c(-97.2312, 27.5609)",4
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,40-200,High,2021-08-07,Summer,2021,8.25,"c(-90.0194, 29.9538)",4
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-10-06,Fall,2019,8.25,"c(-96.2691, 28.8652)",4
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2021-02-05,Winter,2021,3,"c(-95.1209, 29.0876)",1
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2022-03-30,Spring,2022,6.5,"c(-94.7311, 29.3294)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2021-04-09,Spring,2021,3,"c(-94.6047, 29.4818)",1
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2019-12-06,Winter,2019,3,"c(-94.7882, 29.2888)",1
Atlantic Ocean,NA,NA,Neuston net,0.030236,pieces/m3,0.005-1,Medium,1996-03-29,Spring,1996,6.5,"c(-78.95, 26.25)",3
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,2007-02-16,Winter,2007,3,"c(-79.64, 25.89)",1
Atlantic Ocean,Coastal Waters of Florida,NA,Grab sample,0.003,pieces/m3,0.0005-0.005,Low,2015-06-15,Summer,2015,4.75,"c(-80.0865, 25.7429)",2
Atlantic Ocean,Gulf of Mexico,Tampa Bay,Van Dorn sampler,0,pieces/m3,0-0.0005,Very Low,2016-06-08,Summer,2016,3,"c(-82.6316, 27.9899)",1
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-01-28,Winter,2020,6.5,"c(-87.9189, 30.514)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,40-200,High,2021-03-03,Spring,2021,8.25,"c(-89.9386, 29.6428)",4
Pacific Ocean,Gulf of California,NA,Grab sample,0.007,pieces/m3,0.005-1,Medium,2013-12-03,Winter,2013,6.5,"c(-110.3172, 24.1633)",3
Pacific Ocean,Coastal Waters of Southeast Alaska and British Columbia,NA,Grab sample,0,pieces/m3,0-0.0005,Very Low,2015-08-28,Summer,2015,3,"c(-124.3535, 49.4856)",1
Atlantic Ocean,NA,NA,Metal spoon,555.66,pieces kg-1 d.w.,>200,Very High,2020-10-08,Fall,2020,10,"c(-71.3642, 41.75806)",5
Atlantic Ocean,Stellwagen Bank National Marine Sanctuary,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,2002-07-14,Summer,2002,3,"c(-70.24, 42.23)",1
Atlantic Ocean,NA,NA,Neuston net,0.00216,pieces/m3,0.0005-0.005,Low,1994-08-11,Summer,1994,4.75,"c(-68.58, 41.03)",2
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,2005-09-02,Fall,2005,3,"c(-69.97, 40.66)",1
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,1998-09-06,Fall,1998,3,"c(-66.64, 41.54)",1
Atlantic Ocean,NA,NA,Neuston net,0.00324,pieces/m3,0.0005-0.005,Low,2004-02-25,Winter,2004,4.75,"c(-71.45, 24.84)",2
Atlantic Ocean,NA,NA,Neuston net,0.007856,pieces/m3,0.005-1,Medium,2007-05-18,Spring,2007,6.5,"c(-65.67, 26.76)",3
Atlantic Ocean,NA,NA,Neuston net,0.01512,pieces/m3,0.005-1,Medium,1997-04-11,Spring,1997,6.5,"c(-66.37, 30.97)",3
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,1991-04-30,Spring,1991,3,"c(-73.48, 28.48)",1
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,40-200,High,2022-05-03,Spring,2022,8.25,"c(-94.9475, 29.1961)",4
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2021-10-20,Fall,2021,6.5,"c(-96.5494, 28.2688)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-09-17,Fall,2019,8.25,"c(-97.0472, 27.8349)",4
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-02-07,Winter,2019,8.25,"c(-97.2192, 27.584)",4
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-04-11,Spring,2019,8.25,"c(-97.2102, 27.601)",4
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2019-05-24,Spring,2019,3,"c(-82.0304, 26.4656)",1
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,>200,Very High,2019-11-27,Fall,2019,10,"c(-84.1897, 30.4451)",5
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,40-200,High,2021-12-20,Winter,2021,8.25,"c(-95.0094, 29.5327)",4
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-12-07,Winter,2019,6.5,"c(-94.8195, 29.27)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-11-23,Fall,2019,8.25,"c(-94.8268, 29.2654)",4
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2022-04-10,Spring,2022,6.5,"c(-94.9697, 29.1829)",3
Pacific Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,2001-10-15,Fall,2001,3,"c(-116.09, 28.54)",1
Pacific Ocean,Gulf of California,NA,PVC cylinder,4231.311707,pieces/m3,500-30000,Medium,2018-06-21,Summer,2018,6.5,"c(-112.030125, 28.859672)",3
Atlantic Ocean,NA,NA,Neuston net,0.140388,pieces/m3,0.005-1,Medium,1996-04-01,Spring,1996,6.5,"c(-77.08, 25.73)",3
Atlantic Ocean,Gulf of Mexico,Tampa Bay,Van Dorn sampler,1000,pieces/m3,>=10,Very High,2017-07-10,Summer,2017,10,"c(-82.4382, 27.897)",5
Pacific Ocean,NA,NA,Grab sample,0.013,pieces/m3,0.005-1,Medium,2014-09-22,Fall,2014,6.5,"c(-129.0366, 31.697)",3
Atlantic Ocean,NA,NA,Neuston net,0.00648,pieces/m3,0.005-1,Medium,1991-05-13,Spring,1991,6.5,"c(-66.02, 39.31)",3
Atlantic Ocean,NA,NA,Neuston net,0.00216,pieces/m3,0.0005-0.005,Low,2002-05-30,Spring,2002,4.75,"c(-65.45, 38.13)",2
NA,NA,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2021-12-09,Winter,2021,3,"c(-82.3656, 41.4252)",1
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-11-22,Fall,2019,8.25,"c(-79.9353, 32.8028)",4
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2022-03-19,Spring,2022,3,"c(-79.9621, 32.7885)",1
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,1998-08-24,Summer,1998,3,"c(-69.73, 42.07)",1
Atlantic Ocean,NA,NA,Neuston net,0.01512,pieces/m3,0.005-1,Medium,1995-08-13,Summer,1995,6.5,"c(-69.03, 41.3)",3
Atlantic Ocean,NA,NA,Neuston net,0.00864,pieces/m3,0.005-1,Medium,1993-07-07,Summer,1993,6.5,"c(-70.42, 40.93)",3
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,2000-05-31,Spring,2000,3,"c(-73.19, 26.14)",1
Pacific Ocean,Gulf of California,NA,PVC cylinder,1410.437236,pieces/m3,500-30000,Medium,2018-06-25,Summer,2018,6.5,"c(-114.495158, 31.680124)",3
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2021-02-13,Winter,2021,6.5,"c(-75.5828, 39.6527)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,1-2,Low,2021-10-14,Fall,2021,4.75,"c(-97.3234, 26.7036)",2
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-05-25,Spring,2019,6.5,"c(-81.4227, 24.6599)",3
Atlantic Ocean,Gulf of Mexico,NA,Neuston net,0.001348,pieces/m3,0.0005-0.005,Low,2004-01-29,Winter,2004,4.75,"c(-83.02, 24.24)",2
Atlantic Ocean,NA,NA,Neuston net,0.00864,pieces/m3,0.005-1,Medium,1992-04-06,Spring,1992,6.5,"c(-75.02, 25.18)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-12-03,Winter,2019,6.5,"c(-94.8222, 29.2681)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2022-05-02,Spring,2022,6.5,"c(-94.9708, 29.1824)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-09-24,Fall,2019,8.25,"c(-94.8952, 29.227)",4
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2021-07-23,Summer,2021,6.5,"c(-96.8783, 28.0387)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-02-13,Winter,2019,6.5,"c(-97.1188, 27.7492)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-04-23,Spring,2020,6.5,"c(-97.2104, 27.601)",3
Atlantic Ocean,NA,NA,Neuston net,0.00648,pieces/m3,0.005-1,Medium,1996-05-11,Spring,1996,6.5,"c(-80.09, 28.42)",3
Atlantic Ocean,Gulf of Mexico,Tampa Bay,Van Dorn sampler,0,pieces/m3,0-0.0005,Very Low,2017-04-11,Spring,2017,3,"c(-82.446, 27.8096)",1
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2020-08-13,Summer,2020,3,"c(-81.4418, 30.553)",1
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-04-17,Spring,2019,8.25,"c(-89.3279, 30.3063)",4
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-01-30,Winter,2020,6.5,"c(-89.3282, 30.3056)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,>200,Very High,2021-04-23,Spring,2021,10,"c(-94.9908, 29.5932)",5
NA,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2021-09-24,Fall,2021,6.5,"c(-78.2662, 43.9508)",3
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2021-01-12,Winter,2021,3,"c(-70.5443, 43.3293)",1
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2020-01-10,Winter,2020,8.25,"c(-79.9262, 32.7872)",4
Atlantic Ocean,NA,NA,Neuston net,0.26782,pieces/m3,0.005-1,Medium,1996-05-25,Spring,1996,6.5,"c(-65.48, 35.07)",3
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,1992-09-01,Fall,1992,3,"c(-68.92, 41.1)",1
Atlantic Ocean,NA,NA,Neuston net,0.097164,pieces/m3,0.005-1,Medium,1992-10-16,Fall,1992,6.5,"c(-70.15, 40.25)",3
Atlantic Ocean,NA,NA,Neuston net,0.012344,pieces/m3,0.005-1,Medium,1995-05-31,Spring,1995,6.5,"c(-66.03, 40.25)",3
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,2003-02-19,Winter,2003,3,"c(-74.17, 24.86)",1
Pacific Ocean,NA,NA,Grab sample,0.001,pieces/m3,0.0005-0.005,Low,2015-03-30,Spring,2015,4.75,"c(-118.3583, 32.8454)",2
Pacific Ocean,NA,NA,Hand picking,NA,pieces/10 mins,1-2,Low,2020-01-11,Winter,2020,4.75,"c(-117.9244, 33.6086)",2
Pacific Ocean,NA,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2020-07-08,Summer,2020,3,"c(-122.5003, 37.6013)",1
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-12-19,Winter,2019,6.5,"c(-79.9253, 32.776)",3
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,1999-02-20,Winter,1999,3,"c(-68.2, 25.25)",1
Atlantic Ocean,NA,NA,Neuston net,0.043196,pieces/m3,0.005-1,Medium,1999-02-20,Winter,1999,6.5,"c(-68.45, 25.32)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-07-07,Summer,2020,6.5,"c(-96.889, 28.0283)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2021-06-15,Summer,2021,3,"c(-97.3304, 27.9437)",1
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-11-09,Fall,2019,8.25,"c(-97.2216, 27.5789)",4
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-05-18,Spring,2019,8.25,"c(-97.1154, 27.7533)",4
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-01-04,Winter,2019,6.5,"c(-97.21, 27.6011)",3
Atlantic Ocean,NA,NA,Neuston net,0.019936,pieces/m3,0.005-1,Medium,1999-04-04,Spring,1999,6.5,"c(-75.42, 24.63)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,40-200,High,2021-05-28,Spring,2021,8.25,"c(-94.8122, 29.3657)",4
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,40-200,High,2021-05-28,Spring,2021,8.25,"c(-94.813, 29.3661)",4
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2021-11-05,Fall,2021,6.5,"c(-94.8051, 29.2784)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2021-11-05,Fall,2021,6.5,"c(-94.8087, 29.276)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2022-04-17,Spring,2022,6.5,"c(-94.809, 29.2763)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2022-04-16,Spring,2022,6.5,"c(-94.744, 29.3207)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,>200,Very High,2019-01-27,Winter,2019,10,"c(-95.8713, 28.6392)",5
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,40-200,High,2020-06-12,Summer,2020,8.25,"c(-95.4048, 29.0087)",4
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-01-01,Winter,2019,6.5,"c(-95.3094, 28.9291)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-11-08,Fall,2019,8.25,"c(-94.9831, 29.6755)",4
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2021-01-26,Winter,2021,3,"c(-94.7561, 29.3363)",1
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-05-19,Spring,2019,6.5,"c(-94.7233, 29.3809)",3
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,2003-02-15,Winter,2003,3,"c(-77.85, 26.16)",1
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,1992-04-21,Spring,1992,3,"c(-78.53, 26.12)",1
Atlantic Ocean,Gulf of Mexico,Tampa Bay,Plankton net,5.8,pieces/m3,1-10,High,2016-12-13,Winter,2016,8.25,"c(-82.4314, 27.8493)",4
Atlantic Ocean,Gulf of Mexico,Tampa Bay,Van Dorn sampler,0,pieces/m3,0-0.0005,Very Low,2017-06-19,Summer,2017,3,"c(-82.6092, 27.7084)",1
Atlantic Ocean,Gulf of Mexico,Tampa Bay,Plankton net,3.4,pieces/m3,1-10,High,2017-04-17,Spring,2017,8.25,"c(-82.6092, 27.7084)",4
Pacific Ocean,NA,NA,Manta net,0.159,pieces/m3,0.005-1,Medium,2009-08-05,Summer,2009,6.5,"c(-127.3653, 32.2584)",3
Pacific Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2021-01-18,Winter,2021,6.5,"c(-124.3218, 43.348)",3
Pacific Ocean,NA,NA,Manta net,0.451787,pieces/m3,0.005-1,Medium,2019-11-22,Fall,2019,6.5,"c(-129.340667, 45.763833)",3
NA,NA,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2021-05-31,Spring,2021,3,"c(-79.0591, 43.261)",1
Atlantic Ocean,NA,NA,Neuston net,0.010796,pieces/m3,0.005-1,Medium,1992-10-15,Fall,1992,6.5,"c(-70.62, 40.85)",3
Atlantic Ocean,NA,NA,Neuston net,0.323976,pieces/m3,0.005-1,Medium,1999-10-22,Fall,1999,6.5,"c(-66.96, 37.1)",3
Atlantic Ocean,NA,NA,Neuston net,0.007852,pieces/m3,0.005-1,Medium,1999-04-23,Spring,1999,6.5,"c(-66.94, 34.85)",3
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,1995-10-26,Fall,1995,3,"c(-65.3, 36.17)",1
Atlantic Ocean,New York Bight,NA,Neuston net,0.00432,pieces/m3,0.0005-0.005,Low,2006-06-05,Summer,2006,4.75,"c(-73.45, 39)",2
Atlantic Ocean,NA,NA,Neuston net,0.00432,pieces/m3,0.0005-0.005,Low,2002-08-20,Summer,2002,4.75,"c(-69.46, 41.99)",2
Pacific Ocean,NA,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2020-06-18,Summer,2020,3,"c(-122.3155, 37.862)",1
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-12-24,Winter,2019,8.25,"c(-79.9155, 32.753)",4
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-05-13,Spring,2019,8.25,"c(-97.245, 27.5341)",4
